freq	dB(S(1,1))
9.00000000000000000E6	-1.19998337053755355E-1
9.00999999999999979E6	-1.20937638335283304E-1
9.01999999999999957E6	-1.21884976953662183E-1
9.02999999999999936E6	-1.22840430379507892E-1
9.04000000000000092E6	-1.23804076934656981E-1
9.05000000000000071E6	-1.24775995802791884E-1
9.05999999999999872E6	-1.25756267040360648E-1
9.07000000000000028E6	-1.26744971587506505E-1
9.08000000000000007E6	-1.27742191279209072E-1
9.08999999999999986E6	-1.28748008856616547E-1
9.09999999999999964E6	-1.29762507978480079E-1
9.10999999999999943E6	-1.30785773232819702E-1
9.12000000000000099E6	-1.31817890148665740E-1
9.12999999999999901E6	-1.32858945208095935E-1
9.14000000000000057E6	-1.33909025858310637E-1
9.15000000000000036E6	-1.34968220523984961E-1
9.16000000000000014E6	-1.36036618619756777E-1
9.16999999999999993E6	-1.37114310562890496E-1
9.17999999999999972E6	-1.38201387786134089E-1
9.19000000000000128E6	-1.39297942750805404E-1
9.19999999999999929E6	-1.40404068959967443E-1
9.20999999999999908E6	-1.41519860971915623E-1
9.22000000000000064E6	-1.42645414413737504E-1
9.23000000000000043E6	-1.43780825995246619E-1
9.24000000000000021E6	-1.44926193522889468E-1
9.25000000000000000E6	-1.46081615914073892E-1
9.25999999999999979E6	-1.47247193211551508E-1
9.26999999999999957E6	-1.48423026598152896E-1
9.27999999999999936E6	-1.49609218411573797E-1
9.29000000000000092E6	-1.50805872159549437E-1
9.30000000000000071E6	-1.52013092535124072E-1
9.30999999999999872E6	-1.53230985432238054E-1
9.32000000000000028E6	-1.54459657961479868E-1
9.33000000000000007E6	-1.55699218466119671E-1
9.33999999999999986E6	-1.56949776538378760E-1
9.34999999999999964E6	-1.58211443035874866E-1
9.35999999999999943E6	-1.59484330098434746E-1
9.37000000000000099E6	-1.60768551165058371E-1
9.37999999999999901E6	-1.62064220991187558E-1
9.39000000000000057E6	-1.63371455666184384E-1
9.40000000000000036E6	-1.64690372631168280E-1
9.41000000000000014E6	-1.66021090697040785E-1
9.41999999999999993E6	-1.67363730062797700E-1
9.42999999999999972E6	-1.68718412334128054E-1
9.44000000000000128E6	-1.70085260542318473E-1
9.44999999999999929E6	-1.71464399163439962E-1
9.45999999999999908E6	-1.72855954137745860E-1
9.47000000000000064E6	-1.74260052889513162E-1
9.48000000000000043E6	-1.75676824347057470E-1
9.49000000000000021E6	-1.77106398963126788E-1
9.50000000000000000E6	-1.78548908735590217E-1
9.50999999999999979E6	-1.80004487228460386E-1
9.51999999999999957E6	-1.81473269593167297E-1
9.52999999999999936E6	-1.82955392590280042E-1
9.54000000000000092E6	-1.84450994611472785E-1
9.55000000000000071E6	-1.85960215701895826E-1
9.55999999999999872E6	-1.87483197582810401E-1
9.57000000000000028E6	-1.89020083674652772E-1
9.58000000000000007E6	-1.90571019120435414E-1
9.58999999999999986E6	-1.92136150809517603E-1
9.59999999999999964E6	-1.93715627401723989E-1
9.60999999999999943E6	-1.95309599351887853E-1
