"freq
References : ['S(1,1)','S(2,2)','S(2,1)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
9.590 MHz,0.978 / -36.821 ,0.950 / 82.292 ,0.175 / 111.507 
9.600 MHz,0.978 / -36.892 ,0.950 / 82.107 ,0.176 / 111.376 
9.610 MHz,0.978 / -36.963 ,0.949 / 81.921 ,0.177 / 111.244 
9.620 MHz,0.978 / -37.035 ,0.949 / 81.735 ,0.178 / 111.112 
9.630 MHz,0.977 / -37.106 ,0.949 / 81.548 ,0.179 / 110.980 
9.640 MHz,0.977 / -37.178 ,0.949 / 81.361 ,0.179 / 110.847 
9.650 MHz,0.977 / -37.250 ,0.949 / 81.174 ,0.180 / 110.714 
9.660 MHz,0.977 / -37.322 ,0.948 / 80.986 ,0.181 / 110.581 
9.670 MHz,0.977 / -37.395 ,0.948 / 80.798 ,0.182 / 110.447 
9.680 MHz,0.976 / -37.468 ,0.948 / 80.610 ,0.182 / 110.313 
9.690 MHz,0.976 / -37.541 ,0.948 / 80.421 ,0.183 / 110.179 
9.700 MHz,0.976 / -37.614 ,0.948 / 80.232 ,0.184 / 110.045 
9.710 MHz,0.976 / -37.687 ,0.948 / 80.042 ,0.185 / 109.910 
9.720 MHz,0.976 / -37.761 ,0.947 / 79.852 ,0.186 / 109.775 
9.730 MHz,0.975 / -37.835 ,0.947 / 79.662 ,0.186 / 109.639 
9.740 MHz,0.975 / -37.909 ,0.947 / 79.471 ,0.187 / 109.503 
9.750 MHz,0.975 / -37.983 ,0.947 / 79.280 ,0.188 / 109.367 
9.760 MHz,0.975 / -38.058 ,0.947 / 79.089 ,0.189 / 109.230 
9.770 MHz,0.975 / -38.133 ,0.946 / 78.897 ,0.190 / 109.093 
9.780 MHz,0.974 / -38.208 ,0.946 / 78.704 ,0.190 / 108.956 
9.790 MHz,0.974 / -38.284 ,0.946 / 78.512 ,0.191 / 108.818 
9.800 MHz,0.974 / -38.360 ,0.946 / 78.319 ,0.192 / 108.680 
9.810 MHz,0.974 / -38.436 ,0.946 / 78.125 ,0.193 / 108.542 
9.820 MHz,0.974 / -38.512 ,0.945 / 77.931 ,0.194 / 108.403 
9.830 MHz,0.973 / -38.588 ,0.945 / 77.737 ,0.195 / 108.264 
9.840 MHz,0.973 / -38.665 ,0.945 / 77.542 ,0.195 / 108.125 
9.850 MHz,0.973 / -38.742 ,0.945 / 77.347 ,0.196 / 107.985 
9.860 MHz,0.973 / -38.819 ,0.944 / 77.152 ,0.197 / 107.845 
9.870 MHz,0.972 / -38.897 ,0.944 / 76.956 ,0.198 / 107.704 
9.880 MHz,0.972 / -38.975 ,0.944 / 76.759 ,0.199 / 107.564 
9.890 MHz,0.972 / -39.053 ,0.944 / 76.563 ,0.200 / 107.422 
9.900 MHz,0.972 / -39.131 ,0.944 / 76.365 ,0.201 / 107.281 
9.910 MHz,0.972 / -39.210 ,0.943 / 76.168 ,0.202 / 107.139 
9.920 MHz,0.971 / -39.289 ,0.943 / 75.970 ,0.202 / 106.996 
9.930 MHz,0.971 / -39.368 ,0.943 / 75.772 ,0.203 / 106.854 
9.940 MHz,0.971 / -39.448 ,0.943 / 75.573 ,0.204 / 106.711 
9.950 MHz,0.971 / -39.528 ,0.942 / 75.373 ,0.205 / 106.567 
9.960 MHz,0.970 / -39.608 ,0.942 / 75.174 ,0.206 / 106.423 
9.970 MHz,0.970 / -39.688 ,0.942 / 74.974 ,0.207 / 106.279 
9.980 MHz,0.970 / -39.769 ,0.942 / 74.773 ,0.208 / 106.135 
9.990 MHz,0.970 / -39.850 ,0.941 / 74.572 ,0.209 / 105.990 
10.00 MHz,0.969 / -39.931 ,0.941 / 74.371 ,0.210 / 105.844 
10.01 MHz,0.969 / -40.013 ,0.941 / 74.169 ,0.211 / 105.698 
10.02 MHz,0.969 / -40.095 ,0.941 / 73.967 ,0.212 / 105.552 
10.03 MHz,0.969 / -40.177 ,0.940 / 73.764 ,0.212 / 105.406 
10.04 MHz,0.968 / -40.259 ,0.940 / 73.561 ,0.213 / 105.259 
10.05 MHz,0.968 / -40.342 ,0.940 / 73.358 ,0.214 / 105.111 
10.06 MHz,0.968 / -40.425 ,0.940 / 73.154 ,0.215 / 104.964 
10.07 MHz,0.967 / -40.509 ,0.939 / 72.949 ,0.216 / 104.816 
10.08 MHz,0.967 / -40.592 ,0.939 / 72.745 ,0.217 / 104.667 
10.09 MHz,0.967 / -40.676 ,0.939 / 72.539 ,0.218 / 104.518 
10.10 MHz,0.967 / -40.761 ,0.939 / 72.334 ,0.219 / 104.369 
10.11 MHz,0.966 / -40.846 ,0.938 / 72.127 ,0.220 / 104.219 
10.12 MHz,0.966 / -40.931 ,0.938 / 71.921 ,0.221 / 104.069 
10.13 MHz,0.966 / -41.016 ,0.938 / 71.714 ,0.222 / 103.918 
10.14 MHz,0.965 / -41.102 ,0.938 / 71.506 ,0.223 / 103.767 
10.15 MHz,0.965 / -41.188 ,0.937 / 71.298 ,0.224 / 103.616 
10.16 MHz,0.965 / -41.274 ,0.937 / 71.090 ,0.225 / 103.464 
10.17 MHz,0.965 / -41.361 ,0.937 / 70.881 ,0.226 / 103.311 
10.18 MHz,0.964 / -41.448 ,0.936 / 70.672 ,0.227 / 103.159 
10.19 MHz,0.964 / -41.535 ,0.936 / 70.462 ,0.228 / 103.005 
10.20 MHz,0.964 / -41.623 ,0.936 / 70.252 ,0.229 / 102.852 
10.21 MHz,0.963 / -41.711 ,0.936 / 70.041 ,0.230 / 102.698 
10.22 MHz,0.963 / -41.799 ,0.935 / 69.830 ,0.231 / 102.543 
10.23 MHz,0.963 / -41.888 ,0.935 / 69.618 ,0.232 / 102.388 
10.24 MHz,0.962 / -41.977 ,0.935 / 69.406 ,0.233 / 102.233 
10.25 MHz,0.962 / -42.067 ,0.934 / 69.193 ,0.234 / 102.077 
10.26 MHz,0.962 / -42.157 ,0.934 / 68.980 ,0.235 / 101.921 
10.27 MHz,0.961 / -42.247 ,0.934 / 68.767 ,0.236 / 101.764 
10.28 MHz,0.961 / -42.337 ,0.933 / 68.553 ,0.237 / 101.607 
10.29 MHz,0.961 / -42.428 ,0.933 / 68.338 ,0.238 / 101.449 
10.30 MHz,0.960 / -42.520 ,0.933 / 68.123 ,0.239 / 101.291 
10.31 MHz,0.960 / -42.611 ,0.932 / 67.908 ,0.241 / 101.133 
10.32 MHz,0.960 / -42.703 ,0.932 / 67.692 ,0.242 / 100.974 
10.33 MHz,0.959 / -42.796 ,0.932 / 67.475 ,0.243 / 100.814 
10.34 MHz,0.959 / -42.889 ,0.931 / 67.258 ,0.244 / 100.654 
10.35 MHz,0.959 / -42.982 ,0.931 / 67.041 ,0.245 / 100.494 
10.36 MHz,0.958 / -43.075 ,0.931 / 66.823 ,0.246 / 100.333 
10.37 MHz,0.958 / -43.169 ,0.930 / 66.605 ,0.247 / 100.172 
10.38 MHz,0.958 / -43.264 ,0.930 / 66.386 ,0.248 / 100.010 
10.39 MHz,0.957 / -43.359 ,0.930 / 66.166 ,0.249 / 99.847 
10.40 MHz,0.957 / -43.454 ,0.929 / 65.947 ,0.250 / 99.684 
10.41 MHz,0.956 / -43.549 ,0.929 / 65.726 ,0.252 / 99.521 
10.42 MHz,0.956 / -43.645 ,0.929 / 65.505 ,0.253 / 99.357 
10.43 MHz,0.956 / -43.742 ,0.928 / 65.284 ,0.254 / 99.193 
10.44 MHz,0.955 / -43.839 ,0.928 / 65.062 ,0.255 / 99.028 
10.45 MHz,0.955 / -43.936 ,0.928 / 64.839 ,0.256 / 98.863 
10.46 MHz,0.954 / -44.034 ,0.927 / 64.616 ,0.257 / 98.697 
10.47 MHz,0.954 / -44.132 ,0.927 / 64.393 ,0.259 / 98.531 
10.48 MHz,0.954 / -44.230 ,0.927 / 64.169 ,0.260 / 98.364 
10.49 MHz,0.953 / -44.329 ,0.926 / 63.945 ,0.261 / 98.196 
