freq	dB(S(2,2))
9.83000000000000007E6	-4.90600572834759507E-1
9.83999999999999986E6	-4.92566741343300230E-1
9.84999999999999964E6	-4.94549454848110503E-1
9.85999999999999943E6	-4.96548897031515235E-1
9.87000000000000099E6	-4.98565253952941845E-1
9.87999999999999901E6	-5.00598714083425378E-1
9.89000000000000057E6	-5.02649468341388772E-1
9.90000000000000036E6	-5.04717710128375785E-1
9.91000000000000014E6	-5.06803635365818828E-1
9.91999999999999993E6	-5.08907442532126275E-1
9.92999999999999972E6	-5.11029332700580952E-1
9.94000000000000128E6	-5.13169509577713345E-1
9.94999999999999929E6	-5.15328179542501807E-1
9.95999999999999908E6	-5.17505551685883436E-1
9.97000000000000064E6	-5.19701837851413728E-1
9.98000000000000043E6	-5.21917252675975618E-1
9.99000000000000021E6	-5.24152013631963065E-1
1.00000000000000000E7	-5.26406341069275996E-1
1.00099999999999989E7	-5.28680458258756047E-1
1.00200000000000000E7	-5.30974591435998811E-1
1.00299999999999989E7	-5.33288969845916583E-1
1.00400000000000000E7	-5.35623825788097463E-1
1.00500000000000012E7	-5.37979394662935917E-1
1.00599999999999978E7	-5.40355915018604449E-1
1.00700000000000012E7	-5.42753628598599658E-1
1.00800000000000001E7	-5.45172780390384659E-1
1.00899999999999990E7	-5.47613618674696134E-1
1.01000000000000001E7	-5.50076395075528346E-1
1.01099999999999990E7	-5.52561364611321526E-1
1.01200000000000001E7	-5.55068785746909299E-1
1.01299999999999990E7	-5.57598920446069002E-1
1.01400000000000001E7	-5.60152034225253193E-1
1.01500000000000012E7	-5.62728396208348247E-1
1.01600000000000001E7	-5.65328279181930515E-1
1.01699999999999990E7	-5.67951959651951999E-1
1.01800000000000002E7	-5.70599717901151404E-1
1.01900000000000013E7	-5.73271838047386595E-1
1.02000000000000002E7	-5.75968608103206847E-1
1.02099999999999991E7	-5.78690320036172601E-1
1.02200000000000002E7	-5.81437269830667436E-1
1.02300000000000013E7	-5.84209757550178388E-1
1.02400000000000002E7	-5.87008087401112455E-1
1.02499999999999991E7	-5.89832567797587881E-1
1.02600000000000002E7	-5.92683511427333887E-1
1.02699999999999991E7	-5.95561235318813686E-1
1.02800000000000002E7	-5.98466060909336228E-1
1.02900000000000014E7	-6.01398314114587507E-1
1.03000000000000003E7	-6.04358325399322904E-1
1.03099999999999992E7	-6.07346429849142844E-1
1.03200000000000003E7	-6.10362967243851706E-1
1.03299999999999992E7	-6.13408282131559179E-1
1.03400000000000003E7	-6.16482723904946273E-1
1.03499999999999992E7	-6.19586646877909075E-1
1.03600000000000003E7	-6.22720410364278898E-1
1.03700000000000014E7	-6.25884378757735504E-1
1.03799999999999981E7	-6.29078921612913877E-1
1.03900000000000015E7	-6.32304413728238313E-1
1.04000000000000004E7	-6.35561235230134880E-1
1.04099999999999993E7	-6.38849771658797305E-1
1.04200000000000004E7	-6.42170414055335748E-1
1.04299999999999993E7	-6.45523559050656459E-1
1.04400000000000004E7	-6.48909608955809070E-1
1.04499999999999993E7	-6.52328971854194162E-1
1.04599999999999982E7	-6.55782061694967666E-1
1.04700000000000015E7	-6.59269298388694303E-1
1.04800000000000004E7	-6.62791107904286303E-1
1.04899999999999993E7	-6.66347922367984768E-1
1.05000000000000004E7	-6.69940180163806076E-1
1.05099999999999993E7	-6.73568326036347997E-1
1.05200000000000005E7	-6.77232811194752404E-1
1.05299999999999994E7	-6.80934093419314479E-1
1.05400000000000005E7	-6.84672637169413001E-1
1.05500000000000016E7	-6.88448913693645181E-1
1.05599999999999983E7	-6.92263401142219159E-1
1.05699999999999994E7	-6.96116584681027017E-1
1.05800000000000005E7	-7.00008956607905297E-1
1.05899999999999994E7	-7.03941016471241721E-1
1.06000000000000005E7	-7.07913271190527826E-1
1.06099999999999994E7	-7.11926235179159939E-1
1.06200000000000006E7	-7.15980430469690354E-1
1.06299999999999994E7	-7.20076386841245153E-1
1.06400000000000006E7	-7.24214641949119997E-1
1.06499999999999995E7	-7.28395741457389256E-1
1.06600000000000006E7	-7.32620239173091381E-1
1.06699999999999995E7	-7.36888697183805341E-1
1.06800000000000006E7	-7.41201685997048010E-1
1.06900000000000017E7	-7.45559784682750148E-1
1.06999999999999984E7	-7.49963581018314329E-1
1.07099999999999995E7	-7.54413671636085059E-1
1.07200000000000006E7	-7.58910662173978867E-1
1.07299999999999995E7	-7.63455167428713910E-1
1.07400000000000007E7	-7.68047811511920386E-1
1.07499999999999996E7	-7.72689228009337725E-1
1.07600000000000007E7	-7.77380060142827389E-1
1.07699999999999996E7	-7.82120960935374043E-1
1.07799999999999985E7	-7.86912593379781100E-1
1.07900000000000018E7	-7.91755630609571348E-1
1.08000000000000007E7	-7.96650756074131028E-1
1.08099999999999996E7	-8.01598663716488069E-1
1.08200000000000007E7	-8.06600058154720401E-1
1.08299999999999996E7	-8.11655654866823539E-1
1.08400000000000007E7	-8.16766180379076623E-1
