freq	dB(S(2,1))
9.00000000000000000E6	-1.72900825184551077E1
9.00999999999999979E6	-1.72536258488167960E1
9.01999999999999957E6	-1.72171580586425255E1
9.02999999999999936E6	-1.71806790308409774E1
9.04000000000000092E6	-1.71441886482114070E1
9.05000000000000071E6	-1.71076867934432864E1
9.05999999999999872E6	-1.70711733491144857E1
9.07000000000000028E6	-1.70346481976904407E1
9.08000000000000007E6	-1.69981112215235486E1
9.08999999999999986E6	-1.69615623028525064E1
9.09999999999999964E6	-1.69250013238011054E1
9.10999999999999943E6	-1.68884281663768876E1
9.12000000000000099E6	-1.68518427124717651E1
9.12999999999999901E6	-1.68152448438599711E1
9.14000000000000057E6	-1.67786344421979239E1
9.15000000000000036E6	-1.67420113890235278E1
9.16000000000000014E6	-1.67053755657557046E1
9.16999999999999993E6	-1.66687268536929922E1
9.17999999999999972E6	-1.66320651340144399E1
9.19000000000000128E6	-1.65953902877775339E1
9.19999999999999929E6	-1.65587021959188863E1
9.20999999999999908E6	-1.65220007392530843E1
9.22000000000000064E6	-1.64852857984729018E1
9.23000000000000043E6	-1.64485572541480529E1
9.24000000000000021E6	-1.64118149867261276E1
9.25000000000000000E6	-1.63750588765312410E1
9.25999999999999979E6	-1.63382888037648466E1
9.26999999999999957E6	-1.63015046485039372E1
9.27999999999999936E6	-1.62647062907033590E1
9.29000000000000092E6	-1.62278936101932802E1
9.30000000000000071E6	-1.61910664866812093E1
9.30999999999999872E6	-1.61542247997503852E1
9.32000000000000028E6	-1.61173684288612407E1
9.33000000000000007E6	-1.60804972533509916E1
9.33999999999999986E6	-1.60436111524331726E1
9.34999999999999964E6	-1.60067100051996358E1
9.35999999999999943E6	-1.59697936906190696E1
9.37000000000000099E6	-1.59328620875383864E1
9.37999999999999901E6	-1.58959150746830713E1
9.39000000000000057E6	-1.58589525306579504E1
9.40000000000000036E6	-1.58219743339470442E1
9.41000000000000014E6	-1.57849803629146912E1
9.41999999999999993E6	-1.57479704958063449E1
9.42999999999999972E6	-1.57109446107494843E1
9.44000000000000128E6	-1.56739025857543202E1
9.44999999999999929E6	-1.56368442987142142E1
9.45999999999999908E6	-1.55997696274078512E1
9.47000000000000064E6	-1.55626784494991943E1
9.48000000000000043E6	-1.55255706425399564E1
9.49000000000000021E6	-1.54884460839693849E1
9.50000000000000000E6	-1.54513046511170238E1
9.50999999999999979E6	-1.54141462212025138E1
9.51999999999999957E6	-1.53769706713392829E1
9.52999999999999936E6	-1.53397778785342576E1
9.54000000000000092E6	-1.53025677196905074E1
9.55000000000000071E6	-1.52653400716089749E1
9.55999999999999872E6	-1.52280948109895808E1
9.57000000000000028E6	-1.51908318144349641E1
9.58000000000000007E6	-1.51535509584508743E1
9.58999999999999986E6	-1.51162521194488342E1
9.59999999999999964E6	-1.50789351737493438E1
9.60999999999999943E6	-1.50415999975828618E1
9.62000000000000099E6	-1.50042464670937004E1
9.62999999999999901E6	-1.49668744583414703E1
9.64000000000000057E6	-1.49294838473046321E1
9.65000000000000036E6	-1.48920745098834018E1
9.66000000000000014E6	-1.48546463219022717E1
9.66999999999999993E6	-1.48171991591131458E1
9.67999999999999972E6	-1.47797328971994713E1
9.69000000000000128E6	-1.47422474117781177E1
9.69999999999999929E6	-1.47047425784042107E1
9.70999999999999908E6	-1.46672182725743605E1
9.72000000000000064E6	-1.46296743697303100E1
9.73000000000000043E6	-1.45921107452627274E1
9.74000000000000021E6	-1.45545272745157872E1
9.75000000000000000E6	-1.45169238327911465E1
9.75999999999999979E6	-1.44793002953520689E1
9.76999999999999957E6	-1.44416565374283379E1
9.77999999999999936E6	-1.44039924342204761E1
9.79000000000000092E6	-1.43663078609052897E1
9.80000000000000071E6	-1.43286026926405974E1
9.80999999999999872E6	-1.42908768045698942E1
9.82000000000000028E6	-1.42531300718286991E1
9.83000000000000007E6	-1.42153623695491027E1
9.83999999999999986E6	-1.41775735728660601E1
